,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
550,603678,火炬电子,4.84,13.89,25.882,116.4021,0.2571,838.0093,1.8512
551,603926,铁流股份,4.83,13.3,32.829,53.6828,0.4473,403.391,3.3615
552,300221,银禧科技,4.82,9.0,20.9698,101.7438,0.2011,1129.8026,2.2341
553,300435,中泰股份,4.82,16.93,25.604,34.7093,0.1417,204.9894,0.8373
554,002695,煌上煌,4.81,10.56,35.1964,80.0382,0.16,757.5223,1.5151
555,600845,宝信软件,4.8,10.0,28.7022,204.5034,0.261,2044.7288,2.6105
556,600379,宝光股份,4.79,5.99,22.1385,23.2165,0.0984,387.0542,1.641
557,000023,深天地A,4.78,3.51,9.5822,19.1799,0.1382,545.5422,3.9316
558,603226,菲林格尔,4.77,9.11,31.3713,33.2365,0.3834,364.8329,4.2094
559,600868,梅雁吉祥,4.77,94.64,38.1764,109.7936,0.0578,115.9996,0.0611
560,000926,福星股份,4.77,8.42,27.6243,462.4896,0.4871,5487.7419,5.7806
561,300630,普利制药,4.76,24.0,76.7849,31.2227,0.2556,130.0855,1.0652
562,300588,熙菱信息,4.75,4.58,21.908,14.954,0.1495,326.3766,3.2637
563,603067,振华股份,4.74,9.5,26.488,50.7891,0.2308,534.1568,2.4279
564,603728,鸣志电器,4.73,9.57,38.3109,75.9795,0.2374,793.3383,2.4791
565,300304,云意电气,4.73,23.83,35.6438,77.6476,0.09,325.7167,0.3778
566,600644,乐山电力,4.72,6.07,24.8574,60.6418,0.1126,998.9278,1.8553
567,300653,正海生物,4.72,24.83,93.8254,20.8874,0.261,84.0902,1.0511
568,300643,万通智控,4.71,12.14,32.8444,18.6877,0.0934,153.8804,0.7694
569,300461,田中精机,4.71,6.41,41.2604,15.1292,0.2144,235.7882,3.3424
570,002119,康强电子,4.7,5.67,22.0755,33.3548,0.1617,587.7688,2.8504
571,600818,中路股份,4.68,9.85,11.715,30.6762,0.0954,311.3111,0.9684
572,600389,江山股份,4.67,3.86,13.543,66.5526,0.224,1722.6446,5.8001
573,300416,苏试试验,4.67,10.57,45.4035,23.1217,0.184,218.6621,1.7409
574,300656,民德电子,4.67,32.89,50.0156,18.3875,0.3064,55.8946,0.9315
575,002502,骅威文化,4.66,39.42,47.9797,152.5212,0.1773,386.8452,0.4499
576,600299,安迪苏,4.65,11.7,37.4219,577.3707,0.2152,4932.1202,1.839
577,002568,百润股份,4.65,15.05,70.8656,78.1748,0.0839,519.376,0.5578
578,002062,宏润建设,4.64,3.22,9.6188,120.5427,0.1093,3740.1584,3.3924
579,002124,天邦股份,4.64,10.07,24.7376,135.57,0.1753,1346.1386,1.7412
580,300586,美联新材,4.64,13.57,23.7266,26.0179,0.271,191.6623,1.9964
581,002866,传艺科技,4.64,14.08,28.1597,40.0201,0.2786,284.0932,1.9779
582,600693,东百集团,4.64,4.91,18.2372,93.2458,0.1038,1897.0107,2.1119
583,000627,天茂集团,4.64,223.06,17.2502,625.8167,0.1469,280.5525,0.0658
584,300661,圣邦股份,4.64,14.43,45.5961,32.5143,0.5419,225.2629,3.7543
585,002267,陕天然气,4.62,6.18,10.9845,251.9601,0.2265,4070.5293,3.6602
586,603667,五洲新春,4.62,9.43,23.7498,53.8339,0.2659,570.8417,2.8203
587,600699,均胜电子,4.61,4.7,18.1237,615.6001,0.6484,13090.7001,13.79
588,603178,圣龙股份,4.61,4.99,20.5604,35.1014,0.1755,702.9985,3.5149
589,603223,恒通股份,4.6,1.94,6.5711,30.1257,0.251,1547.5624,12.8963
590,603928,兴业股份,4.6,9.3,22.785,48.3476,0.2398,519.4112,2.5764
591,002567,唐人神,4.59,2.1,9.7062,137.7396,0.1717,6530.5061,8.1439
592,300637,扬帆新材,4.59,12.39,31.6007,23.597,0.1966,190.3494,1.5862
593,603038,华立股份,4.58,14.12,30.4715,40.7497,0.6109,288.5458,4.326
594,601137,博威合金,4.58,5.41,13.3116,146.4558,0.2334,2703.3525,4.31
595,603309,维力医疗,4.58,13.78,36.636,39.7561,0.1987,288.3378,1.4416
596,603567,珍宝岛,4.58,17.14,59.6617,199.5228,0.2349,1164.0361,1.3708
597,002846,英联股份,4.57,12.91,25.2681,24.1856,0.2015,187.3259,1.561
598,300054,鼎龙股份,4.57,18.38,36.2858,155.3141,0.1615,844.7696,0.8789
599,300615,欣天科技,4.57,17.53,42.9091,20.2133,0.2526,115.247,1.4405
600,601899,紫金矿业,4.56,4.01,14.5899,1505.3994,0.0653,37523.6319,1.6292
601,600226,瀚叶股份,4.54,26.1,18.8264,189.6051,0.1099,726.3473,0.4211
602,000582,北部湾港,4.54,20.14,39.1365,295.526,0.2382,1466.6325,1.1825
603,002686,亿利达,4.53,10.64,34.385,64.5288,0.1455,606.4495,1.368
604,300500,启迪设计,4.52,14.91,44.6836,32.318,0.2627,216.6209,1.7611
605,002080,中材科技,4.51,8.34,28.9299,373.5406,0.4629,4478.5965,5.5511
606,002788,鹭燕医药,4.5,1.73,7.6716,63.456,0.495,3652.6278,28.4985
607,300570,太辰光,4.5,20.75,35.5316,47.917,0.2083,230.8477,1.0036
608,002033,丽江旅游,4.5,31.33,73.2371,99.9303,0.1818,318.8847,0.5803
609,002370,亚太药业,4.49,20.54,41.0362,101.6073,0.3787,494.6468,1.8439
610,002678,珠江钢琴,4.48,10.81,32.9348,91.4817,0.0956,845.6596,0.8845
611,002861,瀛通通讯,4.48,13.01,30.6679,44.8793,0.3657,344.8366,2.8104
