,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
792,600367,红星发展,化工原料,贵州,46.18,2.91,2.91,162672.02,98845.61,37712.48,28521.06,0.98,0.134,3.8,3.27,20010320,33216.12,1.14,19.02,36.65,25.29,6.09,38687
793,603608,天创时尚,服饰,广东,24.34,1.27,3.92,185119.75,125951.07,30212.15,73046.36,1.86,0.257,3.91,3.2,20160218,37434.78,0.95,9.17,75.57,59.21,12.37,31488
794,300124,汇川技术,电器仪表,深圳,62.33,12.84,16.65,812675.25,652440.0,64630.58,136265.38,0.82,0.11,2.96,8.71,20100928,211366.67,1.27,37.73,23.54,46.57,22.06,25426
795,2840,华统股份,食品,浙江,33.15,0.45,1.79,142024.38,46602.03,61847.88,52015.25,2.91,0.21,6.18,4.17,20170110,37583.03,2.1,0.0,0.0,6.23,3.09,21992
796,532,华金资本,元器件,广东,309.52,3.43,3.45,196134.22,46022.12,6295.33,2517.46,0.07,0.01,2.08,6.23,19940103,29223.75,0.85,54.94,-43.08,37.79,4.22,36848
797,300047,天源迪科,软件服务,深圳,210.28,2.72,3.58,316492.38,221388.41,20090.73,105643.27,2.95,0.031,5.52,2.39,20100120,50055.95,1.4,18.05,303.23,19.13,1.16,26769
798,625,长安汽车,汽车整车,重庆,6.87,37.61,48.03,11169393.0,6871756.0,1534021.25,508530.16,1.06,0.5,9.57,1.44,19970610,3352805.25,6.98,-8.64,-10.16,15.15,13.59,154000
799,300438,鹏辉能源,电气设备,广东,64.34,1.25,2.81,287719.19,214244.16,52457.51,109145.7,3.88,0.12,6.57,4.23,20150424,44384.71,1.58,23.26,43.61,24.45,10.39,17001
800,657,中钨高新,小金属,海南,90.5,2.46,6.29,679331.69,358776.66,227569.91,274118.03,4.36,0.038,4.77,2.91,19961205,-34449.06,-0.55,22.21,188.83,19.62,1.72,43000
801,600721,百花村,生物制药,新疆,64.82,2.49,4.0,276925.03,67367.68,11212.45,232218.2,5.8,0.11,5.82,2.45,19960626,-39842.4,-1.0,-10.2,130.38,30.59,17.09,11516
802,2193,如意集团,纺织,山东,212.79,2.31,2.62,426751.06,265236.78,71996.56,164876.63,6.3,0.019,9.51,1.7,20071207,51471.01,1.97,-2.24,93.99,17.57,2.75,13335
803,488,晨鸣纸业,造纸,山东,9.04,11.06,19.36,9176811.0,4270458.5,2853678.25,614925.75,3.18,0.75,11.75,1.39,20001120,711226.94,3.67,29.63,85.86,30.69,12.7,94435
